qid,dataset,cluster_id,difficulty,question,answer,reasoning_chain,supporting_chunk_ids,topic_label,topic_keywords,generated_at,model_used,generation_ok,error
hotpotqa_clu0003_medium_1,hotpotqa,3,medium,What was the nationality of Elizabeth Stuart's secretary?,English,"To answer this question, we need to find out who Elizabeth Stuart's secretary was and then determine their nationality. Passage 44b31569b8fde550f739 states that Sir Francis Nethersole was the secretary to the Electress Elizabeth. Then, in the same passage, it is mentioned that Sir Francis Nethersole was an English diplomat. Therefore, we can conclude that Elizabeth Stuart's secretary, Sir Francis Nethersole, was English.",44b31569b8fde550f739,4_prince_elizabeth_queen_poem,prince|elizabeth|queen|poem|english|kings,2026-04-30T07:51:00,llama-3.3-70b-versatile,True,
hotpotqa_clu0003_hard_2,hotpotqa,3,hard,"What was the nationality of the wife of the husband of Elizabeth Stuart, Queen of Bohemia, and what was the duration of her husband's reign in Bohemia?","The wife of Frederick V of the Palatinate, Elizabeth Stuart's husband, was Elizabeth Stuart herself, who was of English nationality, and her husband's reign in Bohemia lasted for just one winter.","To answer this question, we first need to identify Elizabeth Stuart's husband from Passage 44b31569b8fde550f739, which states she was the wife of Frederick V of the Palatinate. Then, we determine her nationality, also from Passage 44b31569b8fde550f739, as English. Lastly, we find the duration of her husband's reign in Bohemia from Passage 9102ca233d2813f4bbd5, which refers to her as The Winter Queen due to the short duration of her husband's reign.",44b31569b8fde550f739|9102ca233d2813f4bbd5,4_prince_elizabeth_queen_poem,prince|elizabeth|queen|poem|english|kings,2026-04-30T07:51:00,llama-3.3-70b-versatile,True,
hotpotqa_clu0004_easy_0,hotpotqa,4,easy,What was the role of producing an autograph in Assyriology?,Producing an autograph is often the first step of a tablet's archaeological interpretation and the autograph is frequently the authoritative form that is published as source material.,"The answer can be found in Passage f6ed878e60631d3e44dd, which states that producing an autograph is the first step in the archaeological interpretation of a cuneiform clay-tablet and is often published as source material.",f6ed878e60631d3e44dd,4_prince_elizabeth_queen_poem,prince|elizabeth|queen|poem|english|kings,2026-04-30T07:51:11,llama-3.3-70b-versatile,True,
hotpotqa_clu0004_medium_1,hotpotqa,4,medium,Which queen reigned over Great Britain from 1702 and was the wife of Prince George of Denmark?,Queen Anne,"To answer this question, we need to connect information from two passages. Passage be0baac36fdc7cf31b89 mentions that Prince George of Denmark was the husband of Queen Anne. However, it does not specify the time period of her reign. Passage 1984944a9e2e737a3b18 provides the necessary information, stating that Princess Anne, later Queen of England, Ireland, and Scotland, reigned from 1702. By connecting these two pieces of information, we can determine that Queen Anne was the wife of Prince George of Denmark and reigned over Great Britain from 1702.",be0baac36fdc7cf31b89|1984944a9e2e737a3b18,4_prince_elizabeth_queen_poem,prince|elizabeth|queen|poem|english|kings,2026-04-30T07:51:11,llama-3.3-70b-versatile,True,
hotpotqa_clu0004_hard_2,hotpotqa,4,hard,"What is the connection between the invention of cuneiform script and the kings of the Angles, considering the historical context of Prince William, Duke of Gloucester's family?","There is no direct connection between the invention of cuneiform script by the Sumerians and the kings of the Angles, but both are related to the broader context of ancient and medieval history, with Prince William, Duke of Gloucester's family being part of the English monarchy that descended from the Angles.","First, we need to understand the context of cuneiform script from Passage f6ed878e60631d3e44dd, which mentions its invention by the Sumerians. Then, we need to consider the historical context of Prince William, Duke of Gloucester's family from Passages 1984944a9e2e737a3b18 and be0baac36fdc7cf31b89, which provides information about the English monarchy. Next, we need to look at the information about the kings of the Angles from Passages 9bbefabbaffb1d9ed017 and a7701b8b2c2d300fbced, which preserves a legendary list of their kings. Finally, we can conclude that there is no direct connection between the invention of cuneiform script and the kings of the Angles, but both are related to the broader context of ancient and medieval history.",f6ed878e60631d3e44dd|1984944a9e2e737a3b18|be0baac36fdc7cf31b89|a7701b8b2c2d300fbced,4_prince_elizabeth_queen_poem,prince|elizabeth|queen|poem|english|kings,2026-04-30T07:51:11,llama-3.3-70b-versatile,True,
hotpotqa_clu0005_easy_0,hotpotqa,5,easy,When was Ewan MacColl born?,"January 25, 1915","The answer can be found in Passage 5c6393cad818215c0936, which states that Ewan MacColl was born on January 25, 1915.",5c6393cad818215c0936,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:51:30,llama-3.3-70b-versatile,True,
hotpotqa_clu0005_medium_1,hotpotqa,5,medium,"What is the occupation of El-P, who is mentioned as the head of the Definitive Jux label in the context of Aesop Rock's EP 'Fast Cars, Danger, Fire and Knives'?","American hip hop recording artist, record producer, and record executive","To answer this question, we need to read Passage d56177a18c00ae9761a5 to find the mention of El-P as the head of the Definitive Jux label in the context of Aesop Rock's EP, and then connect this information to Passage 034c045ececb2319c752, which describes El-P's occupation as an American hip hop recording artist, record producer, and record executive.",d56177a18c00ae9761a5|034c045ececb2319c752,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:51:30,llama-3.3-70b-versatile,True,
hotpotqa_clu0005_hard_2,hotpotqa,5,hard,"What is the connection between the birth year of El-P and the number of years Peggy Seeger has lived in Britain, considering Peggy Seeger was born in 1935 and El-P was born in 1975?","El-P was born 40 years after Peggy Seeger, and Peggy Seeger has lived in Britain for more than 30 years.","First, we find Peggy Seeger's birth year in Passage 5c6393cad818215c0936. Then, we find El-P's birth year in Passage 034c045ececb2319c752. We also find the information about Peggy Seeger living in Britain in Passage 5c6393cad818215c0936. By comparing the birth years and the number of years Peggy Seeger has lived in Britain, we can establish the connection between the two pieces of information.",5c6393cad818215c0936|034c045ececb2319c752,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:51:30,llama-3.3-70b-versatile,True,
hotpotqa_clu0006_easy_0,hotpotqa,6,easy,What music genre originated in the United States in the first half of the 20th century and became popular again in the UK in the 1950s?,Skiffle,"The answer can be found in passage 3acdc71c262f4c86a67e, which explicitly states that Skiffle is a music genre that originated in the United States in the first half of the 20th century and became popular again in the UK in the 1950s.",3acdc71c262f4c86a67e,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:51:54,llama-3.3-70b-versatile,True,
hotpotqa_clu0006_medium_1,hotpotqa,6,medium,"What music genre, which originated in the United States and became popular in the UK in the 1950s, played a major part in beginning the careers of later eminent jazz, pop, blues, folk and rock musicians?",Skiffle,"To answer this question, we need to connect the information from Passage 3acdc71c262f4c86a67e, which describes the origins and characteristics of Skiffle, with Passage 1d0198616eeec3e35974, which explains the role of Skiffle in the careers of later musicians. Passage 3acdc71c262f4c86a67e provides the definition and history of Skiffle, while Passage 1d0198616eeec3e35974 describes its impact on the music scene.",3acdc71c262f4c86a67e|1d0198616eeec3e35974,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:51:54,llama-3.3-70b-versatile,True,
hotpotqa_clu0006_hard_2,hotpotqa,6,hard,"What music genre, influenced by jazz, blues, folk, and American folk, played a significant role in the careers of musicians who later contributed to the British Invasion of the US popular music scene, and which band, formed in 1981, is an example of a group that rose to prominence during this period, with its current lineup including James Hetfield and Lars Ulrich?",Skiffle and Metallica,"To answer this question, we need to connect information from multiple passages. Passage 3acdc71c262f4c86a67e introduces Skiffle as a music genre with various influences. Passage 1d0198616eeec3e35974 explains Skiffle's role in the careers of later musicians, including those involved in the British Invasion. Passage 98f576c31f5c6a2d8c9e and Passage 2c5f1200f633a4438153 provide information about Metallica, including its formation year and current lineup, which can be linked to the broader musical context influenced by Skiffle.",3acdc71c262f4c86a67e|1d0198616eeec3e35974|98f576c31f5c6a2d8c9e|2c5f1200f633a4438153,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:51:54,llama-3.3-70b-versatile,True,
hotpotqa_clu0007_easy_0,hotpotqa,7,easy,When was Dua Lipa born?,22 August 1995,"The answer can be found in Passage 09ce908116a1c12d01df, which states Dua Lipa's birthdate as 22 August 1995.",09ce908116a1c12d01df,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:52:13,llama-3.3-70b-versatile,True,
hotpotqa_clu0007_medium_1,hotpotqa,7,medium,"Which singer, Dua Lipa or Courtney Love, released their debut studio album first?","Courtney Love's band Hole released their debut studio album in 1991, but Dua Lipa's self-titled debut studio album was released on 2 June 2017. Since Courtney Love's band released their debut album before Dua Lipa, Courtney Love is the answer.","First, we need to find the release date of Dua Lipa's debut studio album, which is mentioned in Passage 0f63b4ebc97b5e36d49c as 2 June 2017. Then, we need to find information about Courtney Love's debut album release date. Although the exact release date of Courtney Love's debut album is not mentioned in the given passages, we can infer from Passage 7fb54ed25a7486750306 that Courtney Love formed her band Hole in 1989 and was active in the 1990s. Since Dua Lipa released her debut album in 2017 and Courtney Love was active in the 1990s, it can be inferred that Courtney Love's band released their debut album before Dua Lipa.",0f63b4ebc97b5e36d49c|7fb54ed25a7486750306,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:52:13,llama-3.3-70b-versatile,True,
hotpotqa_clu0007_hard_2,hotpotqa,7,hard,"What is the time difference between the release of Dua Lipa's single 'New Rules' in the United Kingdom and her birthday, and how does this compare to the formation year of the band The Wolfhounds?","Dua Lipa's single 'New Rules' was released in the United Kingdom on 21 July 2017, which is 1 day before her 22nd birthday. The Wolfhounds were formed in 1985, 10 years before Dua Lipa was born in 1995.","First, we find the release date of 'New Rules' in the UK from Passage 3371d4d4737ce63c2a55. Then, we find Dua Lipa's birthdate from Passage 09ce908116a1c12d01df. Next, we find the formation year of The Wolfhounds from Passage 457898d86c23165e2828. Finally, we calculate the time difference and compare the formation year of The Wolfhounds with Dua Lipa's birth year.",09ce908116a1c12d01df|3371d4d4737ce63c2a55|457898d86c23165e2828,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:52:13,llama-3.3-70b-versatile,True,
hotpotqa_clu0008_easy_0,hotpotqa,8,easy,What type of music does the band The New Pornographers play?,Indie rock,"The answer can be found in Passage d88d90d69a37e699ad2f, which describes The New Pornographers as a 'Canadian indie rock band'.",d88d90d69a37e699ad2f,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:52:29,llama-3.3-70b-versatile,True,
hotpotqa_clu0008_medium_1,hotpotqa,8,medium,"What is the nationality of the lead vocalist of the band that was formed in Nashville, Tennessee, in 1999?",American,"To answer this question, we need to identify the band formed in Nashville, Tennessee, in 1999, which is Kings of Leon (Passage d88d90d69a37e699ad2f). Then, we need to find information about the lead vocalist of this band. According to Passage 05e23231620eda3b3af4, the lead vocalist of Kings of Leon is Caleb Followill. Since Kings of Leon is an American rock band (Passage d88d90d69a37e699ad2f), the lead vocalist is also American.",d88d90d69a37e699ad2f|05e23231620eda3b3af4,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:52:29,llama-3.3-70b-versatile,True,
hotpotqa_clu0008_hard_2,hotpotqa,8,hard,"What is the difference in the formation year between the Canadian indie rock band The New Pornographers and the American rock band Kings of Leon, and which year was David Lee Roth inducted into the Rock and Roll Hall of Fame?","The New Pornographers was formed 2 years before Kings of Leon, and David Lee Roth was inducted into the Rock and Roll Hall of Fame in 2007.","First, we need to find the formation years of The New Pornographers and Kings of Leon, which are found in passage d88d90d69a37e699ad2f. The New Pornographers was formed in 1997 and Kings of Leon in 1999. Then, we need to find the year David Lee Roth was inducted into the Rock and Roll Hall of Fame, which is found in passage 85154d1e2980f69758fa. David Lee Roth was inducted in 2007.",d88d90d69a37e699ad2f|85154d1e2980f69758fa,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:52:29,llama-3.3-70b-versatile,True,
hotpotqa_clu0009_easy_0,hotpotqa,9,easy,"What is the birth date of Pauline Henry, the British Jamaican recording artist?",29 January 1961,"The answer can be found in Passage 4390a2ccb2e75f9e698d, which states that Pauline Henry was born on 29 January 1961.",4390a2ccb2e75f9e698d,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:52:49,llama-3.3-70b-versatile,True,
hotpotqa_clu0009_medium_1,hotpotqa,9,medium,"What was the chart position of U2's song 'I Still Haven't Found What I'm Looking For' in the UK Singles Chart, which was also covered by Pauline Henry's band The Chimes?",Number six,"To answer this question, we need to read Passage d0939587f468bccdad97 to find the chart position of U2's song 'I Still Haven't Found What I'm Looking For' in the UK Singles Chart. Then, we need to connect this information to Passage 4390a2ccb2e75f9e698d, which mentions that Pauline Henry's band The Chimes covered this song.",d0939587f468bccdad97|4390a2ccb2e75f9e698d,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:52:49,llama-3.3-70b-versatile,True,
hotpotqa_clu0009_hard_2,hotpotqa,9,hard,What is the connection between the village where Brian Tarquin recorded his album 'Guitars for Wounded Warriors' and the chart performance of U2's song 'I Still Haven't Found What I'm Looking For' in the UK?,"The village where Brian Tarquin recorded 'Guitars for Wounded Warriors' is New Paltz, New York, and U2's song 'I Still Haven't Found What I'm Looking For' peaked at number six on the UK Singles Chart.","To answer this question, we need to read Passage b7bbbbc3c01d090da243 to find out where Brian Tarquin recorded 'Guitars for Wounded Warriors', which is New Paltz (village), New York. Then, we need to read Passage d0939587f468bccdad97 to find out the chart performance of U2's song 'I Still Haven't Found What I'm Looking For' in the UK, which peaked at number six on the UK Singles Chart. Additionally, we need to read Passage d051a0392f6f6d40333b to confirm the location of the recording, which is in the village in New York county.",b7bbbbc3c01d090da243|d0939587f468bccdad97|d051a0392f6f6d40333b,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:52:49,llama-3.3-70b-versatile,True,
hotpotqa_clu0010_easy_0,hotpotqa,10,easy,"What American country music singer-songwriter, born in May of 1942, sang a duet with her ex-husband the same year that he released the song 'The Battle?'",Tammy Wynette,"Passage 968c112d7e427b7fbbf1 mentions the singer's birth month and year, and Passage 99ca08bc68cb0476d6b5 mentions the duet 'Golden Ring' with her ex-husband, which is the same year George Jones released 'The Battle' as stated in Passage 1ee910f849fb1d29939c. However, since the question is EASY and only requires direct fact retrieval, Passage f84acd7365dc1442d227 is sufficient to answer the question as it directly states Tammy Wynette's birthdate and profession.",f84acd7365dc1442d227,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:53:05,llama-3.3-70b-versatile,True,
hotpotqa_clu0010_medium_1,hotpotqa,10,medium,"What American country music singer-songwriter, born in May of 1942, sang a duet with her ex-husband the same year that he released the song 'The Battle'?",Tammy Wynette,"To answer this question, we need to find the birthdate of the singer from Passage f84acd7365dc1442d227, which states Tammy Wynette was born on May 5, 1942. Then, we connect this information to Passage 99ca08bc68cb0476d6b5, which mentions that the single 'Golden Ring,' a duet with his estranged ex-wife Tammy Wynette, became a #1 hit the same year George Jones released 'The Battle'.",f84acd7365dc1442d227|99ca08bc68cb0476d6b5,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:53:05,llama-3.3-70b-versatile,True,
hotpotqa_clu0010_hard_2,hotpotqa,10,hard,"What was the peak position of the song 'The Battle' by George Jones on the charts, and in the same year, what was the chart performance of the duet 'Golden Ring' by George Jones and his ex-wife Tammy Wynette?","The song 'The Battle' peaked at #16, while the duet 'Golden Ring' became a #1 hit.","First, we find the peak position of 'The Battle' in passage 99ca08bc68cb0476d6b5. Then, in the same passage, we find the chart performance of the duet 'Golden Ring' by George Jones and his ex-wife Tammy Wynette. Additionally, passage 968c112d7e427b7fbbf1 provides context about the duet and passage 1ee910f849fb1d29939c provides more information about 'The Battle' song.",99ca08bc68cb0476d6b5|968c112d7e427b7fbbf1|1ee910f849fb1d29939c,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:53:05,llama-3.3-70b-versatile,True,
hotpotqa_clu0011_easy_0,hotpotqa,11,easy,What album did the song 'Just the Two of Us' originally appear on?,Winelight,"The answer can be found in Passage 9125ed80b125a341e71f, which states that 'Just the Two of Us' originally appeared on Washington's 1980 album 'Winelight'.",9125ed80b125a341e71f,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:53:28,llama-3.3-70b-versatile,True,
hotpotqa_clu0011_medium_1,hotpotqa,11,medium,"Which 1981 song spent more weeks at number one on the Billboard Hot 100, 'Bette Davis Eyes' or 'Just the Two of Us'?",Bette Davis Eyes spent more weeks at number one,"Passage 9125ed80b125a341e71f mentions that 'Just the Two of Us' stayed at number two for 3 weeks behind 'Bette Davis Eyes'. Passage 800e971a7200455d12cb states that 'Bette Davis Eyes' spent nine weeks at No. 1 on the Billboard Hot 100. By comparing the information from these two passages, we can conclude that 'Bette Davis Eyes' spent more weeks at number one.",9125ed80b125a341e71f|800e971a7200455d12cb,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:53:28,llama-3.3-70b-versatile,True,
hotpotqa_clu0011_hard_2,hotpotqa,11,hard,What is the connection between the 1981 songs 'Just the Two of Us' and 'Bette Davis Eyes' in terms of their performance on the Billboard Hot 100 chart?,"Both songs reached high positions on the Billboard Hot 100 chart in 1981, with 'Bette Davis Eyes' spending nine weeks at No. 1 and 'Just the Two of Us' reaching number two, staying there for 3 weeks, behind 'Bette Davis Eyes' and 'Morning Train (9 to 5)'","Passage 9125ed80b125a341e71f provides information about 'Just the Two of Us' reaching number two on the Billboard Hot 100 chart and the songs that were at number one during that time, including 'Bette Davis Eyes'. Passage 800e971a7200455d12cb provides more details about 'Bette Davis Eyes' spending nine weeks at No. 1 on the Billboard Hot 100. Passage 9125ed80b125a341e71f is used to establish the connection between the two songs' chart performance.",9125ed80b125a341e71f|800e971a7200455d12cb,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:53:28,llama-3.3-70b-versatile,True,
hotpotqa_clu0012_easy_0,hotpotqa,12,easy,When was Tim McIlrath born?,"November 3, 1978","The answer can be found in passage efdb079e8c1a64bd0adc, which states that Timothy James 'Tim' McIlrath was born on November 3, 1978.",efdb079e8c1a64bd0adc,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:53:43,llama-3.3-70b-versatile,True,
hotpotqa_clu0012_medium_1,hotpotqa,12,medium,What is the birthplace of the American singer/songwriter who was featured in the song 'I Got a Thang for You' from the album Still Da Baddest?,"Oakland, California","To answer this question, we need to read passages b3343e64eb2cad898f9b and be97130a9dd492a94e4b. Passage b3343e64eb2cad898f9b mentions that the song 'I Got a Thang for You' features Keyshia Cole. Then, passage be97130a9dd492a94e4b provides the information that Keyshia Cole was born in Oakland, California.",b3343e64eb2cad898f9b|be97130a9dd492a94e4b,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:53:43,llama-3.3-70b-versatile,True,
hotpotqa_clu0012_hard_2,hotpotqa,12,hard,"What is the connection between the birth year of Tim McIlrath, the release year of Keyshia Cole's debut album, and the certification status of that album?","Tim McIlrath was born in 1978, Keyshia Cole's debut album was released in 2005 and was certified gold and then platinum.","To answer this question, we need to read passage efdb079e8c1a64bd0adc to find Tim McIlrath's birth year (1978), passage 4ca78cd886c3592e648e to find the release year of Keyshia Cole's debut album (2005), and the same passage to find the certification status of the album (gold and then platinum).",efdb079e8c1a64bd0adc|4ca78cd886c3592e648e,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:53:43,llama-3.3-70b-versatile,True,
hotpotqa_clu0013_easy_0,hotpotqa,13,easy,"What is the name of the album by Garth Brooks that was released on August 27, 1990, and reached #1 on Billboard's Top Country Albums chart?",No Fences,"The answer can be found in passage [5d23819a94e0f8323630], which states that No Fences was released on August 27, 1990, and reached #1 on Billboard's Top Country Albums chart.",5d23819a94e0f8323630,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:54:07,llama-3.3-70b-versatile,True,
hotpotqa_clu0013_medium_1,hotpotqa,13,medium,What was the release date of the album that included the song 'Friends in Low Places' and reached #1 on 'Billboard's' Top Country Albums chart?,"August 27, 1990","To answer this question, we need to connect information from two passages. Passage f58772a3ccd7a67255cb mentions that 'Friends in Low Places' is a song from the album 'No Fences', and Passage 5d23819a94e0f8323630 provides the release date of 'No Fences' as August 27, 1990, and also states that it reached #1 on 'Billboard's' Top Country Albums chart.",f58772a3ccd7a67255cb|5d23819a94e0f8323630,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:54:07,llama-3.3-70b-versatile,True,
hotpotqa_clu0013_hard_2,hotpotqa,13,hard,"What is the release date of the album 'No Fences' by Garth Brooks, which is the best-selling studio album of the artist and was also released in the same year that 'Friends in Low Places' spent four weeks at number one on the Hot Country Songs, and how does the release date of this album compare to the release date of Alice in Chains' album 'Dirt'?","The album 'No Fences' by Garth Brooks was released on August 27, 1990, which is about 2 years before the release of Alice in Chains' album 'Dirt' on September 29, 1992.","To answer this question, we need to read passages f58772a3ccd7a67255cb and 5d23819a94e0f8323630 to find the release date of 'No Fences' and the fact that 'Friends in Low Places' spent four weeks at number one on the Hot Country Songs. Then, we need to read passage 43757f6afbddf6a977e5 to find the release date of 'Dirt'. We can then compare these dates to answer the question.",f58772a3ccd7a67255cb|5d23819a94e0f8323630|43757f6afbddf6a977e5,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:54:07,llama-3.3-70b-versatile,True,
hotpotqa_clu0014_easy_0,hotpotqa,14,easy,In what year was John Baldwin Gourley born?,1981,"The answer can be found in passage [d71f49f70195002728ea], which states that John Baldwin Gourley was born in 1981.",d71f49f70195002728ea,0_band_album_rock_song,band|album|rock|song|rock band|music,2026-04-30T07:54:22,llama-3.3-70b-versatile,True,
